region	state	mean_pbs	mean_bri	delta	mwu_p
Hippocampal formation	MYE:CD4 Th17	0.016843162	0.018095952	0.001252789	0.85714287
Corpus callosum	MYE:Microglia	0.03337872	0.03359895	0.00022022799	0.9047619
Caudoputamen	MYE:CD4 Th17	0.024080636	0.023386434	-0.00069420226	0.9047619
Ventricular area	MYE:Microglia	0.011939463	0.013773706	0.0018342426	0.9047619
Olfactory areas	MYE:NK	0.019743044	0.019716026	-2.7017668e-05	0.9047619
Olfactory areas	MYE:cDC1	0.021091787	0.020693688	-0.00039809942	0.9047619
Corpus callosum	MYE:CD4 Th17	0.014547392	0.014370802	-0.00017658994	0.9047619
Hypothalamus	MYE:cDC1	0.018373324	0.018119313	-0.00025401078	0.9047619
Meninges	MYE:cDC1	0.017830126	0.017389186	-0.00044094026	1.0
Infragranular layers	MYE:NK	0.021613931	0.021467673	-0.00014625862	1.0
Olfactory areas	MYE:CD4 Th17	0.019058442	0.019298939	0.00024049729	1.0
Hypothalamus	MYE:Microglia	0.031428758	0.030486844	-0.0009419136	1.0
Caudoputamen	MYE:CD8 TRM	0.017223287	0.017268987	4.57e-05	1.0
Olfactory areas	MYE:Treg	0.018661706	0.018864745	0.0002030395	1.0
Meninges	MYE:CD4 Th17	0.015094032	0.014952384	-0.00014164764	1.0
Infragranular layers	MYE:CD8 TRM	0.017038217	0.016974458	-6.375834e-05	1.0
Meninges	MYE:Treg	0.015903523	0.015671259	-0.0002322644	1.0
